# column 0 is pixels, column 1 is signal
5.540000000000000000e+02,2.311197916666666782e-02
5.550000000000000000e+02,3.255208333333333478e-03
5.560000000000000000e+02,3.255208333333333044e-03
5.570000000000000000e+02,4.882812500000000867e-03
5.580000000000000000e+02,1.334635416666666782e-02
5.590000000000000000e+02,1.106770833333333391e-02
5.600000000000000000e+02,8.138020833333333912e-03
5.610000000000000000e+02,4.069010416666667129e-02
5.620000000000000000e+02,1.204427083333333391e-02
5.630000000000000000e+02,1.009114583333333218e-02
5.640000000000000000e+02,1.985677083333333565e-02
5.650000000000000000e+02,1.725260416666666782e-02
5.660000000000000000e+02,1.009114583333333391e-02
5.670000000000000000e+02,2.799479166666666782e-02
5.680000000000000000e+02,2.636718750000000000e-02
5.690000000000000000e+02,1.269531250000000000e-02
5.700000000000000000e+02,3.255208333333333044e-03
5.710000000000000000e+02,6.835937500000000000e-03
5.720000000000000000e+02,7.486979166666666088e-03
5.730000000000000000e+02,1.660156250000000000e-02
5.740000000000000000e+02,4.231770833333333044e-03
5.750000000000000000e+02,9.440104166666666088e-03
5.760000000000000000e+02,0.000000000000000000e+00
5.770000000000000000e+02,1.139322916666666609e-02
